Nazov obce;Nazov okresu;Nazov kraja,
Dedinky;Okres Roznava;Kosicky,
Dechtice;Okres Trnava;Trnavsky,
Dekys;Okres Banska Stiavnica;Banskobystricky,
Demandice;Okres Levice;Nitriansky,
Demanovska Dolina;Okres Liptovsky Mikulas;Zilinsky,
Demjata;Okres Presov;Presovsky,
Detrik;Okres Vranov nad Toplou;Presovsky,
Detva;Okres Detva;Banskobystricky,
Detvianska Huta;Okres Detva;Banskobystricky,
Devicany;Okres Levice;Nitriansky,
Devicie;Okres Krupina;Banskobystricky,
Dezerice;Okres Banovce nad Bebravou;Trenciansky,
Diakova;Okres Martin;Zilinsky,
Diakovce;Okres Sala;Nitriansky,
Diviacka Nova Ves;Okres Prievidza;Trenciansky,
Diviaky nad Nitricou;Okres Prievidza;Trenciansky,
Divin;Okres Lucenec;Banskobystricky,
Divina;Okres Zilina;Zilinsky,
Divinka;Okres Zilina;Zilinsky,
Dlha;Okres Trnava;Trnavsky,
Dlha nad Kysucou;Okres Cadca;Zilinsky,
Dlha nad Oravou;Okres Dolny Kubin;Zilinsky,
Dlha nad Vahom;Okres Sala;Nitriansky,
Dlha Ves;Okres Roznava;Kosicky,
Dlhe Klcovo;Okres Vranov nad Toplou;Presovsky,
Dlhe nad Cirochou;Okres Snina;Presovsky,
Dlhe Pole;Okres Zilina;Zilinsky,
Dlhe Straze;Okres Levoca;Presovsky,
Dlhona;Okres Svidnik;Presovsky,
Dlzin;Okres Prievidza;Trenciansky,
Dobra;Okres Trebisov;Kosicky,
Dobra Niva;Okres Zvolen;Banskobystricky,
Dobra Voda;Okres Trnava;Trnavsky,
Dobroc;Okres Lucenec;Banskobystricky,
Dobrohost;Okres Dunajska Streda;Trnavsky,
Dobroslava;Okres Svidnik;Presovsky,
Dobsina;Okres Roznava;Kosicky,
Dohnany;Okres Puchov;Trenciansky,
Dojc;Okres Senica;Trnavsky,
Dolany, okres Levoca;Okres Levoca;Presovsky
Dolany, okres Pezinok;Okres Pezinok;Bratislavsky
Dolinka;Okres Velky Krtis;Banskobystricky,
Dolna Breznica;Okres Puchov;Trenciansky,
Dolna Krupa;Okres Trnava;Trnavsky,
Dolna Lehota;Okres Brezno;Banskobystricky,
Dolna Marikova;Okres Povazska Bystrica;Trenciansky,
Dolna Micina;Okres Banska Bystrica;Banskobystricky,
Dolna Poruba;Okres Trencin;Trenciansky,
Dolna Sec;Okres Levice;Nitriansky,
Dolna Streda;Okres Galanta;Trnavsky,
Dolna Strehova;Okres Velky Krtis;Banskobystricky,
Dolna Suca;Okres Trencin;Trenciansky,
Dolna Tizina;Okres Zilina;Zilinsky,
Dolna Trnavka;Okres Ziar nad Hronom;Banskobystricky,
Dolna Ves;Okres Ziar nad Hronom;Banskobystricky,
Dolna Zdana;Okres Ziar nad Hronom;Banskobystricky,
Dolne Dubove;Okres Trnava;Trnavsky,
Dolne Kockovce;Okres Puchov;Trenciansky,
Dolne Lefantovce;Okres Nitra;Nitriansky,
Dolne Lovcice;Okres Trnava;Trnavsky,
Dolne Mladonice;Okres Krupina;Banskobystricky,
Dolne Nastice;Okres Banovce nad Bebravou;Trenciansky,
Dolne Obdokovce;Okres Nitra;Nitriansky,
Dolne Oresany;Okres Trnava;Trnavsky,
Dolne Otrokovce;Okres Hlohovec;Trnavsky,
Dolne Plachtince;Okres Velky Krtis;Banskobystricky,
Dolne Saliby;Okres Galanta;Trnavsky,
Dolne Semerovce;Okres Levice;Nitriansky,
Dolne Srnie;Okres Nove Mesto nad Vahom;Trenciansky,
Dolne Strhare;Okres Velky Krtis;Banskobystricky,
Dolne Trhoviste;Okres Hlohovec;Trnavsky,
Dolne Vestenice;Okres Prievidza;Trenciansky,
Dolne Zahorany;Okres Rimavska Sobota;Banskobystricky,
Dolne Zelenice;Okres Hlohovec;Trnavsky,
Dolny Badin;Okres Krupina;Banskobystricky,
Dolny Bar;Okres Dunajska Streda;Trnavsky,
Dolny Harmanec;Okres Banska Bystrica;Banskobystricky,
Dolny Hricov;Okres Zilina;Zilinsky,
Dolny Chotar;Okres Galanta;Trnavsky,
Dolny Kalnik;Okres Martin;Zilinsky,
Dolny Kubin;Okres Dolny Kubin;Zilinsky,
Dolny Lieskov;Okres Povazska Bystrica;Trenciansky,
Dolny Lopasov;Okres Piestany;Trnavsky,
Dolny Ohaj;Okres Nove Zamky;Nitriansky,
Dolny Pial;Okres Levice;Nitriansky,
Dolny Stal;Okres Dunajska Streda;Trnavsky,
Dolny Vadicov;Okres Kysucke Nove Mesto;Zilinsky,
Domadice;Okres Levice;Nitriansky,
Domaniky;Okres Krupina;Banskobystricky,
Domaniza;Okres Povazska Bystrica;Trenciansky,
Domanovce;Okres Levoca;Presovsky,
Donovaly;Okres Banska Bystrica;Banskobystricky,
Drabsko;Okres Brezno;Banskobystricky,
Drahnov;Okres Michalovce;Kosicky,
Drahovce;Okres Piestany;Trnavsky,
Dravce;Okres Levoca;Presovsky,
Drazice;Okres Rimavska Sobota;Banskobystricky,
Drazkovce;Okres Martin;Zilinsky,
Drazovce;Okres Krupina;Banskobystricky,
Driencany;Okres Rimavska Sobota;Banskobystricky,
Drienica;Okres Sabinov;Presovsky,
Drienov;Okres Presov;Presovsky,
Drienovec;Okres Kosice - okolie;Kosicky,
Drienovo;Okres Krupina;Banskobystricky,
Drienovska Nova Ves;Okres Presov;Presovsky,
Drietoma;Okres Trencin;Trenciansky,
Drna;Okres Rimavska Sobota;Banskobystricky,
Drnava;Okres Roznava;Kosicky,
Druzstevna pri Hornade;Okres Kosice - okolie;Kosicky,
Drzenice;Okres Levice;Nitriansky,
Drzkovce;Okres Revuca;Banskobystricky,
Dubakovo;Okres Poltar;Banskobystricky,
Dubinne;Okres Bardejov;Presovsky,
Dubnica nad Vahom;Okres Ilava;Trenciansky,
Dubnicka;Okres Banovce nad Bebravou;Trenciansky,
Dubnik;Okres Nove Zamky;Nitriansky,
Dubno;Okres Rimavska Sobota;Banskobystricky,
Dubodiel;Okres Trencin;Trenciansky,
Dubova, okres Pezinok;Okres Pezinok;Bratislavsky
Dubova, okres Svidnik;Okres Svidnik;Presovsky
Dubovany;Okres Piestany;Trnavsky,
Dubovce;Okres Skalica;Trnavsky,
Dubove, okres Turcianske Teplice;Okres Turcianske Teplice;Zilinsky
Dubove, okres Zvolen;Okres Zvolen;Banskobystricky
Dubovec;Okres Rimavska Sobota;Banskobystricky,
Dubovica;Okres Sabinov;Presovsky,
Dubrava, okres Levoca;Okres Levoca;Presovsky
Dubrava, okres Liptovsky Mikulas;Okres Liptovsky Mikulas;Zilinsky
Dubrava, okres Snina;Okres Snina;Presovsky
Dubravica;Okres Banska Bystrica;Banskobystricky,
Dubravka;Okres Michalovce;Kosicky,
Dubravy;Okres Detva;Banskobystricky,
